url	slug	status	start_time	end_time	p0	p1	p2	error
http://localhost:1420/dashboard	dashboard	done	2026-04-09T18:41:44+01:00	2026-04-09T18:45:58+01:00	0	0	5	
http://localhost:1420/ai-chat	ai-chat	done	2026-04-09T18:45:58+01:00	2026-04-09T18:49:59+01:00	0	2	1	
http://localhost:1420/agents	agents	done	2026-04-09T18:49:59+01:00	2026-04-09T18:54:47+01:00	0	2	6	
http://localhost:1420/files	files	done	2026-04-09T19:12:40+01:00	2026-04-09T19:18:45+01:00	0	1	8	
http://localhost:1420/models	models	done	2026-04-09T19:18:45+01:00	2026-04-09T19:23:24+01:00	0	2	7	
http://localhost:1420/flash-inference	flash-inference	done	2026-04-09T19:23:24+01:00	2026-04-09T19:27:43+01:00	0	1	6	
http://localhost:1420/documents	documents	done	2026-04-09T19:27:43+01:00	2026-04-09T19:32:03+01:00	0	0	7	
http://localhost:1420/scheduler	scheduler	done	2026-04-09T19:32:03+01:00	2026-04-09T19:37:00+01:00	0	1	5	
http://localhost:1420/approvals	approvals	done	2026-04-09T19:37:00+01:00	2026-04-09T19:40:38+01:00	0	1	3	
http://localhost:1420/terminal	terminal	done	2026-04-09T19:40:38+01:00	2026-04-09T19:46:40+01:00	0	2	7	
http://localhost:1420/settings	settings	done	2026-04-09T19:46:40+01:00	2026-04-09T19:54:49+01:00	0	1	6	
http://localhost:1420/nexus-builder	nexus-builder	done	2026-04-09T19:54:49+01:00	2026-04-09T20:00:51+01:00	0	1	7	
http://localhost:1420/nexus-code	nexus-code	done	2026-04-09T20:00:51+01:00	2026-04-09T20:07:28+01:00	0	2	5	
http://localhost:1420/code	code	done	2026-04-09T20:07:31+01:00	2026-04-09T20:12:35+01:00	0	3	4	
http://localhost:1420/api-client	api-client	done	2026-04-09T20:12:35+01:00	2026-04-09T20:16:48+01:00	0	4	5	
http://localhost:1420/database	database	done	2026-04-09T20:16:48+01:00	2026-04-09T20:25:53+01:00	0	3	6	
http://localhost:1420/developer-portal	developer-portal	done	2026-04-09T20:25:53+01:00	2026-04-09T20:30:35+01:00	0	2	5	
http://localhost:1420/deploy	deploy	done	2026-04-09T20:30:35+01:00	2026-04-09T20:37:44+01:00	0	2	4	
http://localhost:1420/software-factory	software-factory	done	2026-04-09T20:37:44+01:00	2026-04-09T20:42:03+01:00	0	2	5	
http://localhost:1420/protocols	protocols	done	2026-04-09T20:42:03+01:00	2026-04-09T20:49:03+01:00	0	1	4	
http://localhost:1420/email	email	done	2026-04-09T20:49:03+01:00	2026-04-09T20:54:20+01:00	0	2	6	
http://localhost:1420/voice	voice	done	2026-04-09T20:54:20+01:00	2026-04-09T20:58:30+01:00	0	2	6	
http://localhost:1420/messaging	messaging	done	2026-04-09T20:58:30+01:00	2026-04-09T21:02:30+01:00	0	2	6	
http://localhost:1420/integrations	integrations	done	2026-04-09T21:02:32+01:00	2026-04-09T21:08:13+01:00	0	2	5	
http://localhost:1420/monitor	monitor	done	2026-04-09T21:08:13+01:00	2026-04-09T21:11:54+01:00	0	0	2	
http://localhost:1420/audit	audit	done	2026-04-09T21:11:54+01:00	2026-04-09T21:17:49+01:00	0	1	4	
http://localhost:1420/timeline	timeline	done	2026-04-09T21:17:49+01:00	2026-04-09T21:21:06+01:00	0	0	5	
http://localhost:1420/trust	trust	done	2026-04-09T21:21:06+01:00	2026-04-09T21:26:39+01:00	0	1	4	
http://localhost:1420/firewall	firewall	done	2026-04-09T21:26:39+01:00	2026-04-09T21:30:11+01:00	0	0	5	
http://localhost:1420/compliance	compliance	done	2026-04-09T21:30:11+01:00	2026-04-09T21:36:38+01:00	0	0	5	
http://localhost:1420/permissions	permissions	done	2026-04-09T21:36:38+01:00	2026-04-09T21:44:03+01:00	0	1	6	
http://localhost:1420/browser	browser	done	2026-04-09T21:44:03+01:00	2026-04-09T21:49:28+01:00	0	0	7	
http://localhost:1420/memory-dashboard	memory-dashboard	done	2026-04-09T21:49:28+01:00	2026-04-09T21:54:44+01:00	0	0	8	
http://localhost:1420/dna-lab	dna-lab	done	2026-04-09T21:54:46+01:00	2026-04-09T22:01:45+01:00	0	2	6	
http://localhost:1420/measurement	measurement	done	2026-04-09T22:01:45+01:00	2026-04-09T22:05:21+01:00	0	3	5	
http://localhost:1420/measurement-session	measurement-session	done	2026-04-09T22:05:21+01:00	2026-04-09T22:09:02+01:00	0	2	4	
http://localhost:1420/measurement-compare	measurement-compare	done	2026-04-09T22:09:02+01:00	2026-04-09T22:13:29+01:00	0	3	6	
http://localhost:1420/measurement-batteries	measurement-batteries	done	2026-04-09T22:13:29+01:00	2026-04-09T22:17:41+01:00	0	3	4	
